day,val_power,val_achievement,val_hedonism,val_stimulation,val_universalism,val_benevolence,val_tradition,val_conformity,val_security,backup_social,backup_risk,backup_anger
2021-08-15 00:00:00,34.530864720586386,19.190568392065742,5.580279098297806,7.255089762718391,1.5864297253634896,2.387994143484627,2.0914454277286127,1.723921946518911,4.628092519396865,6.443210064424495,106.299831365936,58.89804781380443
2017-12-07 00:00:00,29.507760069199332,17.034845442778664,5.519374750325381,6.793324376177095,1.5107240437158471,2.283858515321723,1.9134756045090784,1.85766383428759,3.4095214962351235,4.823918196666095,81.03563014729173,43.40511124205859
2020-04-16 00:00:00,29.821389476456595,17.909448057137556,5.59732399497996,7.163745725168909,1.343783783783784,2.073272309227365,2.281056721056722,1.9420682730923693,2.6039967959908807,5.520082470178196,88.63166201882582,46.527822108734966
2017-02-23 00:00:00,27.819544984488115,15.816887432717058,5.207323441231174,6.33609904572091,1.5927116044694367,3.1653654683395485,1.963099325693956,2.433486174013333,2.8799829042057965,4.46250270283257,77.65418106175439,40.90648927109001
2023-02-14 00:00:00,64.27205673056707,46.3133794358968,9.697765876052031,11.48348675074801,3.232795563398033,4.819148437865947,3.188923519539681,3.3910225403888927,9.201369228393483,10.751887086712404,139.16778985685485,97.20693432453707
2018-08-21 00:00:00,26.227588379418968,15.48375788399925,4.660495784525854,5.617935645633096,1.5625470419990968,2.4179090881486665,2.054329655633568,1.7847184170471844,3.507449660245621,4.555904961565343,77.5377184496426,40.61203479908336
2018-12-04 00:00:00,26.66277677203733,16.307579304527486,5.039205661232408,5.958496331855962,1.4947194719471948,2.1559775151595617,1.9247832738398776,1.9667758166280649,3.029473051062275,4.49033394006448,77.60398313762025,40.17132663530242
2023-06-02 00:00:00,27.289830250437703,16.955359821903873,5.489459373565446,6.373359565628369,1.4894259818731113,2.139789018122804,1.9599681161987408,1.7505986696230602,3.330923770184004,4.857319557625143,82.15647234227258,43.34863381784861
2021-03-12 00:00:00,29.80224887882615,18.437036871956582,5.731563421828909,6.854786876261185,1.4908581782243455,2.073852173381427,2.0227069779308584,1.7776115681874844,2.826810603990162,5.419918290804367,88.17411129119392,45.39761069990912
2015-09-07 00:00:00,27.99266127540812,17.000461960938637,5.624825721407749,6.66200220634274,,,,,,5.000513131990113,82.14290979143983,44.25953003048269
2017-03-28 00:00:00,28.43766740239569,16.47773497613235,5.318571039671342,6.298821102773169,1.456065424806906,2.6844938321949243,1.8583065810593904,1.9070351758793973,3.045529624594088,4.597149370748613,76.30255001172809,40.301504673971344
2017-10-25 00:00:00,29.196201166744995,17.841896605507188,5.532810381834619,6.518025581350119,1.5457175925925923,2.3855410203254945,1.8603273702325216,1.8461008610086105,3.163745960725827,4.8926785764444825,81.40049006112001,42.76947272166401
2017-07-15 00:00:00,29.27556113512802,16.9388494074313,5.364895561357701,6.692122846809292,1.4245832496485238,2.6483457605929366,1.896361547299885,1.8097051877809096,3.364528641536119,5.039301642968779,84.3909992033801,45.11061683562819
2021-06-01 00:00:00,28.039737085447225,18.130360446570965,5.658099931382948,6.591435100947609,1.5101340307289963,2.142682180036742,1.9972575607526468,1.882329263383872,3.230177012609117,5.07675866265192,86.79107850075114,45.6745119481068
2023-03-05 00:00:00,83.11989929717832,61.6783445465998,12.12836858881484,14.672813711240307,3.2460414129110844,5.863007585899146,3.228490387645763,3.502620850320327,11.803159713650954,13.91222748815166,173.24916492693114,122.4262808795109
2021-08-21 00:00:00,29.690514573720964,16.86445647271087,5.10720741599073,6.518708354689902,1.3369938229238163,2.5882649751315507,1.9516823963890029,1.789128895184136,3.3818825679689275,5.427452849458706,93.3331371611432,49.97772705518536
2018-09-15 00:00:00,28.196254513096928,15.82438074906602,4.877239931785387,6.130698611462969,1.3357580398162332,2.5587784063668613,3.117520711874808,1.8199570213958705,3.16156607257713,5.006569269010296,83.9782745272886,47.78717641808002
2023-01-13 00:00:00,61.99795465316404,46.07338221230479,9.494080628076516,11.073017044406296,3.027399091152099,5.1636738298498654,3.045557887373208,3.715039577836409,8.12963206480289,10.336274270362695,135.27891266083262,92.3765961407208
2019-08-23 00:00:00,26.58001964250637,16.02677703218547,5.754056988879728,6.660681051797531,1.4344240489491886,2.2815130684115714,2.186545315682282,1.767987173491883,3.156956247764702,4.51165626075414,78.47966140078252,42.59824143186527
2022-06-19 00:00:00,31.09968134651523,19.07755977927652,5.791224081175554,6.939372644221555,1.5617715617715615,2.3921893848009645,1.9435833849969,1.9127531716002677,4.319523203332947,5.695135671740568,92.13723899166936,51.28923961384098
2016-08-08 00:00:00,25.45327813582977,17.501071719466715,5.448235126382468,6.41303337302522,1.576587543112193,2.4960901290613937,2.0606750785769603,1.9278120031796504,3.347087141390939,4.910063425793156,78.64273731555686,43.27287515461453
2015-10-15 00:00:00,25.3970677261651,15.571560739308502,5.23150595095092,6.063913643628616,,,,,,4.411154102045695,76.44873412270167,40.552299007833966
2019-03-15 00:00:00,27.201791879007068,16.050042026438454,5.351414547422123,6.481950855099917,1.451880647194789,2.594436505035062,2.327241984782469,1.8074496845899672,3.8353691007122426,4.704111347395443,79.33955965698344,42.655019140000746
2021-11-13 00:00:00,29.56071008238526,17.896214725397716,5.038135074973704,6.373470716322088,1.384462809917356,2.087086446104589,1.964271158809944,1.8207120655552416,3.151136410510251,5.3211178045515375,90.67716428349388,47.57314746310503
2022-11-13 00:00:00,30.69541637508749,19.88116546323605,5.459884848864127,6.696051935843959,1.389245189935866,2.1421721409733863,1.852878464818763,1.6818483307539245,3.754231620105987,5.311882094470891,87.24622840810247,48.909878294631454
